kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,Woodiness,growth_form,leaf_type,leaf_area,Nmass,LMA,plant_height,diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Polygonum,thunbergii,Polygonum thunbergii,Persicaria thunbergii,Persicaria_thunbergii,1,NO,Polygonum thunbergii,NA,non-woody,herbaceous non-graminoid,broadleaved,1329.414288740892,23.965574298714113,47.468267226284404,0.2,1.4485203555439434,0.2493426158273597,0.2542325707705786,0.22769048634269773,0.24400993690872405
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,hydropiper,Persicaria hydropiper,Persicaria hydropiper,Persicaria_hydropiper,1,NO,Persicaria hydropiper,Persicaria hydropiper,non-woody,herbaceous non-graminoid,broadleaved,1488.53,38.47376623,23.11463297,0.63879213,1.7675,0.20408688357918217,0.194541633,0.197809816,0.197809816
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,maculosa,Persicaria maculosa,Persicaria maculosa,Persicaria_maculosa,1,NO,Persicaria maculosa,Polygonum persicaria,non-woody,herbaceous non-graminoid,broadleaved,1429.26,11.98783704,45.96906007,0.396136175,2.0441,0.24083872663375985,0.252416794,0.2281364,0.2281364
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Populus,Populus,tremuloides,Populus tremuloides,Populus tremuloides,Populus_tremuloides,1,NO,Populus tremuloides,Populus tremuloides,woody,tree,broadleaved,2066.58,20.80417917,69.52013404,16.70656374,0.117,0.382101601,0.3564627768909633,0.29925607626438017,0.382101601
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Portulacaceae,Portulacaceae,Portulaca,Portulaca,oleracea,Portulaca oleracea,Portulaca oleracea,Portulaca_oleracea,1,NO,Portulaca oleracea,Portulaca oleracea,non-woody,succulent,broadleaved,47.55,19.29,63.75064859,0.103987738,0.1418,0.2247922919480001,0.1,0.14827,0.14827
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rosaceae,Rosaceae,Malus,Malus,domestica,Malus domestica,Malus domestica,Malus_domestica,1,NO,Malus domestica,Malus domestica,woody,tree,broadleaved,1620,26.642635,62.74205295,5.114735007,25.7151,0.5725139186397804,0.3805206405187665,0.32994207607752396,0.5709920525210007
Plantae,Tracheophyta,A,Magnoliopsida,Rosales,Rhamnaceae,Rhamnaceae,Rhamnus,Rhamnus,cathartica,Rhamnus cathartica,Rhamnus cathartica,Rhamnus_cathartica,1,NO,Rhamnus cathartica,Rhamnus cathartica,woody,shrub/tree,broadleaved,655.96,24.36628659,58.48843604,3.291853038,20.3745,0.658103335,0.3861508095488205,0.33427642164377397,0.658103335
Plantae,Tracheophyta,A,Magnoliopsida,Sapindales,Anacardiaceae,Anacardiaceae,Rhus,Rhus,typhina,Rhus typhina,Rhus typhina,Rhus_typhina,1,NO,Rhus canadensis,Rhus typhina,woody,shrub/tree,broadleaved,3630.4123051111096,20.150472812856698,50.74991953541701,6.970186688724895,18,0.5728900453151059,0.3742054113301634,0.3185387491230001,0.5761717425782822
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Rudbeckia,Rudbeckia,hirta,Rudbeckia hirta,Rudbeckia hirta,Rudbeckia_hirta,1,NO,Rudbeckia bicolor,Rudbeckia hirta,non-woody,herbaceous non-graminoid,broadleaved,2082.5235284728456,16.581372407228056,72.94416495982075,1.081854272472753,0.4919,0.2974332000337597,0.3009280696344204,0.25319212980031003,0.2580436245083983
Plantae,Tracheophyta,A,Liliopsida,Alismatales,Alismataceae,Alismataceae,Sagittaria,Sagittaria,latifolia,Sagittaria latifolia,Sagittaria latifolia,Sagittaria_latifolia,1,NO,Sagittaria latifolia,NA,non-woody,herbaceous non-graminoid,broadleaved,1321.57,21.408209456061734,33.3550337,1.49,6.75,0.2758471857471764,0.27709381137715156,0.24140155009189274,0.25016716547169415
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Cenchrus,Cenchrus,americanus,Cenchrus americanus,Cenchrus americanus,Cenchrus_americanus,1,NO,NA,Cenchrus americanus,non-woody,herbaceous graminoid,broadleaved,1459.920485597053,16.944379645975612,56.911060929561636,0.9184224743034791,2.385728972617749,0.33468790429501666,0.34146684895598584,0.30495369425197427,0.3046005299809055
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Silene,Silene,antirrhina,Silene antirrhina,Silene antirrhina,Silene_antirrhina,1,NO,Silene antirrhina,Silene antirrhina,non-woody,herbaceous non-graminoid,broadleaved,1029.5166032727466,22.69,50,0.42846717978119186,0.0631,0.27641827026735993,0.2813723162927792,0.24101398162093937,0.25952930803840335
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Maianthemum,Maianthemum,racemosum,Maianthemum racemosum,Maianthemum racemosum,Maianthemum_racemosum,1,NO,Maianthemum racemosum,Maianthemum racemosum,non-woody,herbaceous non-graminoid,broadleaved,1105.33,17.85337881,49.64568932,0.7355553451583268,32.1827,0.3271493996176833,0.33359768103398285,0.2790823837489998,0.2943193567152829
Plantae,Tracheophyta,A,Liliopsida,Asparagales,Asparagaceae,Asparagaceae,Maianthemum,Maianthemum,stellatum,Maianthemum stellatum,Maianthemum stellatum,Maianthemum_stellatum,1,NO,Maianthemum stellatum,NA,non-woody,herbaceous non-graminoid,broadleaved,2271.6503353138005,20.28981191682529,60.41141131574741,0.6,24.1883,0.3235939543311499,0.31678222889271423,0.2678082232695934,0.27993289341643623
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Solanum,Solanum,carolinense,Solanum carolinense,Solanum carolinense,Solanum_carolinense,1,NO,Solanum carolinense,Solanum caroliniense,non-woody,herbaceous non-graminoid,broadleaved,1653.7695640606046,23.31918738,60.32258075,1.0316292028909473,2.44,0.2263428151973599,0.23465222943456296,0.21719164584469258,0.22472536298257875
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Solanum,Solanum,nigrum,Solanum nigrum,Solanum nigrum,Solanum_nigrum,1,NO,NA,Solanum nigrum,non-woody,herbaceous non-graminoid,broadleaved,1569.4315638780668,25.775418595683675,42.42744634186606,0.8103010893993956,3.5720848381008232,0.2267404730997596,0.2260967223549102,0.21134205182995397,0.21912568962768603
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,canadensis,Solidago canadensis,Solidago canadensis,Solidago_canadensis,1,NO,Solidago canadensis,Solidago canadensis,non-woody,herbaceous non-graminoid,broadleaved,894.72,16.25032178,60.79755528,0.816947234,0.0752,0.29245403398776004,0.284464623,0.244929462,0.244929462
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Solidago,Solidago,missouriensis,Solidago missouriensis,Solidago missouriensis,Solidago_missouriensis,1,NO,Solidago missouriensis,Solidago missouriensis,non-woody,herbaceous non-graminoid,broadleaved,876.86,12.70468117,98.76975015,0.91,0.2694,0.4387265559566671,0.37786299173815086,0.306920801330203,0.34674683851734306
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Stellaria,Stellaria,media,Stellaria media,Stellaria media,Stellaria_media,1,NO,Stellaria media,Stellaria media,non-woody,herbaceous non-graminoid,broadleaved,262.73,33.55153559,20.64641471,0.15232626,0.3667,0.1215332,0.13207970489195645,0.1599501025988834,0.1215332
Plantae,Tracheophyta,A,Magnoliopsida,Dipsacales,Caprifoliaceae,Caprifoliaceae,Symphoricarpos,Symphoricarpos,occidentalis,Symphoricarpos occidentalis,Symphoricarpos occidentalis,Symphoricarpos_occidentalis,1,NO,Symphoricarpos occidentalis,Symphoricarpos occidentalis,woody,shrub,broadleaved,1606.4779980000014,23.58703151472834,51.455318124240065,0.91,5.9918,0.40201025544099983,0.34669537344731055,0.29714363997606685,0.3438312798746668
Plantae,Tracheophyta,A,Liliopsida,Poales,Typhaceae,Typhaceae,Typha,Typha,angustifolia,Typha angustifolia,Typha angustifolia,Typha_angustifolia,1,NO,Typha angustifolia,Typha angustifolia,non-woody,herbaceous graminoid,broadleaved,9475.81,14.5327217,142.3432416,1.586970136,0.0941,0.2787257788483097,0.264952826,0.237968109,0.237968109
