sciname_IN_Phylogeny,Matched,Fuzzy,scientificName,taxonRank,majorGroup,family,genus,specificEpithet,Old.status,sciname_IN_WFO
Corylus americana,TRUE,FALSE,Corylus americana,species,A,Betulaceae,Corylus,americana,,Corylus americana
Betula papyrifera,TRUE,FALSE,Betula papyrifera,species,A,Betulaceae,Betula,papyrifera,,Betula papyrifera
Betula pumila,TRUE,FALSE,Betula pumila,species,A,Betulaceae,Betula,pumila,,Betula pumila
Betula alleghaniensis,TRUE,FALSE,Betula alleghaniensis,species,A,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis
Quercus alba,TRUE,FALSE,Quercus alba,species,A,Fagaceae,Quercus,alba,,Quercus alba
Quercus macrocarpa,TRUE,FALSE,Quercus macrocarpa,species,A,Fagaceae,Quercus,macrocarpa,,Quercus macrocarpa
Quercus petraea,TRUE,FALSE,Quercus petraea,species,A,Fagaceae,Quercus,petraea,,Quercus petraea
Quercus ellipsoidalis,TRUE,FALSE,Quercus ellipsoidalis,species,A,Fagaceae,Quercus,ellipsoidalis,,Quercus ellipsoidalis
Chamaecrista fasciculata,TRUE,FALSE,Chamaecrista fasciculata,species,A,Fabaceae,Chamaecrista,fasciculata,,Chamaecrista fasciculata
Hylodesmum glutinosum,TRUE,FALSE,Hylodesmum glutinosum,species,A,Fabaceae,Hylodesmum,glutinosum,,Hylodesmum glutinosum
Lespedeza capitata,TRUE,FALSE,Lespedeza capitata,species,A,Fabaceae,Lespedeza,capitata,,Lespedeza capitata
Desmodium canadense,TRUE,FALSE,Desmodium canadense,species,A,Fabaceae,Desmodium,canadense,,Desmodium canadense
Strophostyles leiosperma,TRUE,FALSE,Strophostyles leiosperma,species,A,Fabaceae,Strophostyles,leiosperma,,Strophostyles leiosperma
Amphicarpaea bracteata,TRUE,FALSE,Amphicarpaea bracteata,species,A,Fabaceae,Amphicarpaea,bracteata,,Amphicarpaea bracteata
Amorpha canescens,TRUE,FALSE,Amorpha canescens,species,A,Fabaceae,Amorpha,canescens,,Amorpha canescens
Dalea candida,TRUE,FALSE,Dalea candida,species,A,Fabaceae,Dalea,candida,,Dalea candida
Dalea purpurea,TRUE,FALSE,Dalea purpurea,species,A,Fabaceae,Dalea,purpurea,,Dalea purpurea
Dalea villosa,TRUE,FALSE,Dalea villosa,species,A,Fabaceae,Dalea,villosa,,Dalea villosa
Baptisia alba,TRUE,FALSE,Baptisia alba,species,A,Fabaceae,Baptisia,alba,,Baptisia alba
Lupinus perennis,TRUE,FALSE,Lupinus perennis,species,A,Fabaceae,Lupinus,perennis,,Lupinus perennis
Robinia pseudoacacia,TRUE,FALSE,Robinia pseudoacacia,species,A,Fabaceae,Robinia,pseudoacacia,,Robinia pseudoacacia
Astragalus canadensis,TRUE,FALSE,Astragalus canadensis,species,A,Fabaceae,Astragalus,canadensis,,Astragalus canadensis
Melilotus officinalis,TRUE,FALSE,Melilotus officinalis,species,A,Fabaceae,Melilotus,officinalis,,Melilotus officinalis
Melilotus albus,TRUE,FALSE,Melilotus albus,species,A,Fabaceae,Melilotus,albus,,Melilotus albus
Medicago sativa,TRUE,FALSE,Medicago sativa,species,A,Fabaceae,Medicago,sativa,,Medicago sativa
Medicago lupulina,TRUE,FALSE,Medicago lupulina,species,A,Fabaceae,Medicago,lupulina,,Medicago lupulina
Vicia villosa,TRUE,FALSE,Vicia villosa,species,A,Fabaceae,Vicia,villosa,,Vicia villosa
Vicia sativa,TRUE,FALSE,Vicia sativa,species,A,Fabaceae,Vicia,sativa,,Vicia sativa
Lathyrus venosus,TRUE,FALSE,Lathyrus venosus,species,A,Fabaceae,Lathyrus,venosus,,Lathyrus venosus
Lathyrus ochroleucus,TRUE,FALSE,Lathyrus ochroleucus,species,A,Fabaceae,Lathyrus,ochroleucus,,Lathyrus ochroleucus
Trifolium pratense,TRUE,FALSE,Trifolium pratense,species,A,Fabaceae,Trifolium,pratense,,Trifolium pratense
Trifolium arvense,TRUE,FALSE,Trifolium arvense,species,A,Fabaceae,Trifolium,arvense,,Trifolium arvense
Trifolium hybridum,TRUE,FALSE,Trifolium hybridum,species,A,Fabaceae,Trifolium,hybridum,,Trifolium hybridum
Trifolium repens,TRUE,FALSE,Trifolium repens,species,A,Fabaceae,Trifolium,repens,,Trifolium repens
Polygala polygama,TRUE,FALSE,Polygala polygama,species,A,Polygalaceae,Polygala,polygama,,Polygala polygama
Polygala sanguinea,TRUE,FALSE,Polygala sanguinea,species,A,Polygalaceae,Polygala,sanguinea,,Polygala sanguinea
Celastrus scandens,TRUE,FALSE,Celastrus scandens,species,A,Celastraceae,Celastrus,scandens,,Celastrus scandens
Oxalis stricta,TRUE,FALSE,Oxalis stricta,species,A,Oxalidaceae,Oxalis,stricta,,Oxalis stricta
Euphorbia geyeri,TRUE,FALSE,Euphorbia geyeri,species,A,Euphorbiaceae,Euphorbia,geyeri,,Euphorbia geyeri
Euphorbia glyptosperma,TRUE,FALSE,Euphorbia glyptosperma,species,A,Euphorbiaceae,Euphorbia,glyptosperma,,Euphorbia glyptosperma
Euphorbia maculata,TRUE,FALSE,Euphorbia maculata,species,A,Euphorbiaceae,Euphorbia,maculata,,Euphorbia maculata
Euphorbia corollata,TRUE,FALSE,Euphorbia corollata,species,A,Euphorbiaceae,Euphorbia,corollata,,Euphorbia corollata
Populus grandidentata,TRUE,FALSE,Populus grandidentata,species,A,Salicaceae,Populus,grandidentata,,Populus grandidentata
Populus tremuloides,TRUE,FALSE,Populus tremuloides,species,A,Salicaceae,Populus,tremuloides,,Populus tremuloides
Populus deltoides,TRUE,FALSE,Populus deltoides,species,A,Salicaceae,Populus,deltoides,,Populus deltoides
Salix pyrifolia,TRUE,FALSE,Salix pyrifolia,species,A,Salicaceae,Salix,pyrifolia,,Salix pyrifolia
Salix bebbiana,TRUE,FALSE,Salix bebbiana,species,A,Salicaceae,Salix,bebbiana,,Salix bebbiana
Salix pedicellaris,TRUE,FALSE,Salix pedicellaris,species,A,Salicaceae,Salix,pedicellaris,,Salix pedicellaris
Salix discolor,TRUE,FALSE,Salix discolor,species,A,Salicaceae,Salix,discolor,,Salix discolor
Salix humilis,TRUE,FALSE,Salix humilis,species,A,Salicaceae,Salix,humilis,,Salix humilis
Salix serissima,TRUE,FALSE,Salix serissima,species,A,Salicaceae,Salix,serissima,,Salix serissima
Salix petiolaris,TRUE,FALSE,Salix petiolaris,species,A,Salicaceae,Salix,petiolaris,,Salix petiolaris
Salix interior,TRUE,FALSE,Salix interior,species,A,Salicaceae,Salix,interior,,Salix interior
Populus balsamifera,TRUE,FALSE,Populus balsamifera,species,A,Salicaceae,Populus,balsamifera,,Populus balsamifera
Viola selkirkii,TRUE,FALSE,Viola selkirkii,species,A,Violaceae,Viola,selkirkii,,Viola selkirkii
Viola pedata,TRUE,FALSE,Viola pedata,species,A,Violaceae,Viola,pedata,,Viola pedata
Viola sagittata,TRUE,FALSE,Viola sagittata,species,A,Violaceae,Viola,sagittata,,Viola sagittata
Viola pedatifida,TRUE,FALSE,Viola pedatifida,species,A,Violaceae,Viola,pedatifida,,Viola pedatifida
Viola macloskeyi,TRUE,FALSE,Viola macloskeyi,species,A,Violaceae,Viola,macloskeyi,,Viola macloskeyi
Viola palustris,TRUE,FALSE,Viola palustris,species,A,Violaceae,Viola,palustris,,Viola palustris
Geranium maculatum,TRUE,FALSE,Geranium maculatum,species,A,Geraniaceae,Geranium,maculatum,,Geranium maculatum
Circaea lutetiana,TRUE,FALSE,Circaea lutetiana,species,A,Onagraceae,Circaea,lutetiana,,Circaea lutetiana
Oenothera parviflora,TRUE,FALSE,Oenothera parviflora,species,A,Onagraceae,Oenothera,parviflora,,Oenothera parviflora
