sciname_NO_Phylogeny,Matched,Fuzzy,scientificName,taxonRank,majorGroup,family_WFO,genus_WFO,specificEpithet,Old.status,sciname_IN_WFO,tipLabel,IN_Phylogeny
Quercus sp.,TRUE,FALSE,Quercus,genus,A,Fagaceae,Quercus,sp.,,Quercus sp.,Quercus_sp.,0
Ranunculus rhomboideus,TRUE,FALSE,Ranunculus rhomboideus,species,A,Ranunculaceae,Ranunculus,rhomboideus,,Ranunculus rhomboideus,Ranunculus_rhomboideus,0
Rhamnus sp.,TRUE,FALSE,Rhamnus,genus,A,Rhamnaceae,Rhamnus,sp.,,Rhamnus sp.,Rhamnus_sp.,0
Rhus sp.,TRUE,FALSE,Rhus,genus,A,Anacardiaceae,Rhus,sp.,,Rhus sp.,Rhus_sp.,0
Roosia sp.,TRUE,FALSE,Roosia,genus,A,Aizoaceae,Roosia,sp.,,Roosia sp.,Roosia_sp.,0
Rubus sp.,TRUE,FALSE,Rubus,genus,A,Rosaceae,Rubus,sp.,,Rubus sp.,Rubus_sp.,0
Echinacea serotina,TRUE,FALSE,Echinacea purpurea,species,A,Asteraceae,Echinacea,purpurea,Synonym,Echinacea purpurea,Echinacea_purpurea,0
Rumex mexicanus,TRUE,FALSE,Rumex mexicanus,species,A,Polygonaceae,Rumex,mexicanus,,Rumex mexicanus,Rumex_mexicanus,0
Rumex sp.,TRUE,FALSE,Rumex,genus,A,Polygonaceae,Rumex,sp.,,Rumex sp.,Rumex_sp.,0
Salix sp.,TRUE,FALSE,Salix,genus,A,Salicaceae,Salix,sp.,,Salix sp.,Salix_sp.,0
Saxifraga pensylvanica,TRUE,FALSE,Micranthes pensylvanica,species,A,Saxifragaceae,Micranthes,pensylvanica,Synonym,Micranthes pensylvanica,Micranthes_pensylvanica,0
Senecio aureus,TRUE,FALSE,Senecio aureus,species,A,Asteraceae,Senecio,aureus,,Senecio aureus,Senecio_aureus,0
Senecio sp.,TRUE,FALSE,Senecio,genus,A,Asteraceae,Senecio,sp.,,Senecio sp.,Senecio_sp.,0
Pennisetum glaucum,TRUE,FALSE,Pennisetum glaucum,species,A,Poaceae,Pennisetum,glaucum,,Pennisetum glaucum,Pennisetum_glaucum,0
Setaria sp.,TRUE,FALSE,Setaria,genus,A,Poaceae,Setaria,sp.,,Setaria sp.,Setaria_sp.,0
Silene sp.,TRUE,FALSE,Silene,genus,A,Caryophyllaceae,Silene,sp.,,Silene sp.,Silene_sp.,0
Solidago sp.,TRUE,FALSE,Solidago,genus,A,Asteraceae,Solidago,sp.,,Solidago sp.,Solidago_sp.,0
Spartina pectinata,TRUE,FALSE,Spartina pectinata,species,A,Poaceae,Spartina,pectinata,,Spartina pectinata,Spartina_pectinata,0
Sphagnum sp.,TRUE,FALSE,Sphagnum,genus,B,Sphagnaceae,Sphagnum,sp.,,Sphagnum sp.,Sphagnum_sp.,0
Stachys sp.,TRUE,FALSE,Stachys,genus,A,Lamiaceae,Stachys,sp.,,Stachys sp.,Stachys_sp.,0
Taraxacum sp.,TRUE,FALSE,Taraxacum,genus,A,Asteraceae,Taraxacum,sp.,,Taraxacum sp.,Taraxacum_sp.,0
Taraxacum campylodes,TRUE,FALSE,Taraxacum campylodes,species,A,Asteraceae,Taraxacum,campylodes,,Taraxacum campylodes,Taraxacum_campylodes,0
Thelypteris confluens,TRUE,FALSE,Thelypteris confluens,species,P,Thelypteridaceae,Thelypteris,confluens,,Thelypteris confluens,Thelypteris_confluens,0
Tradescantia sp.,TRUE,FALSE,Tradescantia,genus,A,Commelinaceae,Tradescantia,sp.,,Tradescantia sp.,Tradescantia_sp.,0
Tragopogon duarius,TRUE,FALSE,Tragopogon duarius,species,A,Asteraceae,Tragopogon,duarius,,Tragopogon duarius,Tragopogon_duarius,0
Triadenum fraseri,TRUE,FALSE,Hypericum fraseri,species,A,Hypericaceae,Hypericum,fraseri,Synonym,Hypericum fraseri,Hypericum_fraseri,0
Trientalis borealis,TRUE,FALSE,Lysimachia borealis,species,A,Primulaceae,Lysimachia,borealis,Synonym,Lysimachia borealis,Lysimachia_borealis,0
Trifolium sp.,TRUE,FALSE,Trifolium,genus,A,Fabaceae,Trifolium,sp.,,Trifolium sp.,Trifolium_sp.,0
Typha sp.,TRUE,FALSE,Typha,genus,A,Typhaceae,Typha,sp.,,Typha sp.,Typha_sp.,0
Ulmus sp.,TRUE,FALSE,Ulmus,genus,A,Ulmaceae,Ulmus,sp.,,Ulmus sp.,Ulmus_sp.,0
Utricularia sp.,TRUE,FALSE,Utricularia,genus,A,Lentibulariaceae,Utricularia,sp.,,Utricularia sp.,Utricularia_sp.,0
