kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_NO_Phylogeny,tipLabel,IN_Phylogeny
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Echinacea,Echinacea,purpurea,Echinacea purpurea,Echinacea serotina,Echinacea_purpurea,0
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Rumex,Rumex,mexicanus,Rumex mexicanus,Rumex mexicanus,Rumex_mexicanus,0
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Rumex,Rumex,sp.,Rumex sp.,Rumex sp.,Rumex_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Malpighiales,Salicaceae,Salicaceae,Salix,Salix,sp.,Salix sp.,Salix sp.,Salix_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifragaceae,Micranthes,Micranthes,pensylvanica,Micranthes pensylvanica,Saxifraga pensylvanica,Micranthes_pensylvanica,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Senecio,Senecio,aureus,Senecio aureus,Senecio aureus,Senecio_aureus,0
Plantae,Tracheophyta,A,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Senecio,Senecio,sp.,Senecio sp.,Senecio sp.,Senecio_sp.,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Cenchrus,Pennisetum,glaucum,Pennisetum glaucum,Pennisetum glaucum,Pennisetum_glaucum,0
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Setaria,Setaria,sp.,Setaria sp.,Setaria sp.,Setaria_sp.,0
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Silene,Silene,sp.,Silene sp.,Silene sp.,Silene_sp.,0
