"","species_names","kingdom","phylum","class","order","family","genus","species","originalSpeciesName","atpB.fasta","matK.fasta","ndhF.fasta","rbcL.fasta","trnL.fasta"
"136","Elymus_repens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Elymus","Elymus repens","Elymus_repens",0,1,0,1,1
"137","Elymus_smithii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Elymus","Elymus smithii","Pascopyrum_smithii",0,1,0,1,1
"138","Elymus_violaceus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Elymus","Elymus violaceus","Elymus_trachycaulus",1,1,1,1,1
"139","Epilobium_ciliatum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Epilobium","Epilobium ciliatum","Epilobium_ciliatum",0,1,0,1,1
"140","Epilobium_leptophyllum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Epilobium","Epilobium leptophyllum","Epilobium_leptophyllum",0,1,0,1,0
"141","Eragrostis_spectabilis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Eragrostis","Eragrostis spectabilis","Eragrostis_spectabilis",0,1,1,1,0
"142","Eragrostis_trichodes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Eragrostis","Eragrostis trichodes","Eragrostis_trichodes",0,0,0,1,0
"143","Erechtites_hieraciifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erechtites","Erechtites hieraciifolia","Erechtites_hieraciifolius",0,1,0,1,1
"144","Erigeron_annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron","Erigeron annuus","Erigeron_annuus",0,1,0,1,0
"145","Erigeron_canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron","Erigeron canadensis","Erigeron_canadensis",0,1,0,1,1
"146","Erigeron_strigosus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Erigeron","Erigeron strigosus","Erigeron_strigosus",0,1,0,0,0
"147","Eupatorium_perfoliatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eupatorium","Eupatorium perfoliatum","Eupatorium_perfoliatum",0,1,0,1,0
"148","Euphorbia_corollata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia corollata","Euphorbia_corollata",0,1,1,1,0
"149","Euphorbia_geyeri","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia geyeri","Euphorbia_geyeri",0,0,0,1,0
"150","Euphorbia_glyptosperma","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Euphorbia","Euphorbia glyptosperma","Euphorbia_glyptosperma",0,0,0,1,0
"151","Eurybia_macrophylla","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eurybia","Eurybia macrophylla","Eurybia_macrophylla",0,1,0,1,0
"152","Euthamia_graminifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Euthamia","Euthamia graminifolia","Euthamia_graminifolia",0,1,0,1,1
"153","Eutrochium_maculatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Eutrochium","Eutrochium maculatum","Eutrochium_maculatum",0,1,1,0,0
"154","Fallopia_cilinode","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Fallopia","Fallopia cilinode","Fallopia_cilinodis",0,1,0,1,1
"155","Fallopia_convolvulus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Fallopia","Fallopia convolvulus","Fallopia_convolvulus",0,1,0,1,1
"156","Fallopia_scandens","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Fallopia","Fallopia scandens","Fallopia_scandens",0,0,0,1,1
"157","Festuca_guestfalica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Festuca","Festuca guestfalica","Festuca_guestfalica",0,0,0,0,1
"158","Festuca_ovina","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Festuca","Festuca ovina","Festuca_ovina",0,0,0,0,1
"159","Festuca_rubra","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Festuca","Festuca rubra","Festuca_rubra",1,0,0,1,1
"160","Fragaria_vesca","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Fragaria","Fragaria vesca","Fragaria_vesca",0,1,0,1,1
"161","Fragaria_virginiana","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Fragaria","Fragaria virginiana","Fragaria_virginiana",0,1,0,1,0
