"","MRCA","MaxAge","MinAge","taxonA","taxonB"
"424","4327c20e8126f3c79bbc08a057220e09",0.00300100000015391,0.00300100000015391,"Antennaria_plantaginifolia","Antennaria_parlinii"
"428","0166bf7a31eaad65ac688fcf15aa5451",2.11420400000009,2.11420400000009,"Cirsium_altissimum","Cirsium_discolor"
"432","c52cefad72c88de376708612c2d95513",0.957830000000229,0.957830000000229,"Hieracium_longipilum","Hieracium_umbellatum"
"434","3ff11a76a30681d67370f8093679ba87",3.60210900000015,3.60210900000015,"Lactuca_serriola","Lactuca_canadensis"
"435","55ca86c2566bb98f69e7665a19c99178",0.915922000000194,0.915922000000194,"Lactuca_canadensis","Lactuca_biennis"
"437","e6dc77a8789c23f5692b10a785cf3f88",12.5412640000002,12.5412640000002,"Taraxacum_officinale","Crepis_tectorum"
"439","ae1f85a868582724bd28a7e03c5f7d99",0.0850790000002348,0.0850790000002348,"Nabalus_racemosus","Nabalus_albus"
"441","2e3f4c7cb8533f48f35f51ddea586012",42.5507200000001,42.5507200000001,"Caltha_palustris","Delphinium_carolinianum"
"444","f5364a261b299581a5675c672d0523b9",19.058248,19.058248,"Aquilegia_canadensis","Thalictrum_dioicum"
"445","0d0e101a3823e290b4a7391100d4bd51",4.58059700000001,4.58059700000001,"Thalictrum_dioicum","Thalictrum_dasycarpum"
"446","327c5f33697a341379cad70b3a7cb6ff",6.36107400000003,6.36107400000003,"Anemone_quinquefolia","Anemone_virginiana"
"447","ff2b56a42e2ba5d031fba2d53f2104e8",1.57101300000011,1.57101300000011,"Anemone_virginiana","Anemone_cylindrica"
"448","ed5ec66a98ed9fed54a33a2a99f0d00d",126.82276,126.82276,"Larix_laricina","Juniperus_virginiana"
"449","fa4707d1d12f46d0498d4abca9dd540e",38.7975810000001,38.7975810000001,"Larix_laricina","Pinus_strobus"
"450","d5eae104c49d6f93c5d90436cc3fa3af",20.8588680000001,20.8588680000001,"Pinus_strobus","Pinus_resinosa"
"451","7b272b4f2dbe7a65e9cb799bba08776d",10.8904000000001,10.8904000000001,"Pinus_resinosa","Pinus_banksiana"
"452","92168be0a5373be798a1d64fc87e73a0",5.03648200000021,5.03648200000021,"Juniperus_virginiana","Juniperus_communis"
