majorGroup,class,order,family_WFO,genus_PHY,species
A,Magnoliopsida,Gentianales,Rubiaceae,Houstonia,Houstonia longifolia
A,Liliopsida,Asparagales,Hypoxidaceae,Hypoxis,Hypoxis hirsuta
A,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex verticillata
A,Liliopsida,Asparagales,Iridaceae,Iris,Iris versicolor
A,Liliopsida,Poales,Juncaceae,Juncus,Juncus tenuis
G,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus virginiana
A,Magnoliopsida,Asterales,Asteraceae,Krigia,Krigia biflora
A,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca biennis
A,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca canadensis
A,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus ochroleucus
A,Magnoliopsida,Fabales,Fabaceae,Lathyrus,Lathyrus venosus
A,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium densiflorum
A,Magnoliopsida,Brassicales,Brassicaceae,Lepidium,Lepidium virginicum
A,Liliopsida,Poales,Poaceae,Digitaria,Digitaria cognata
A,Magnoliopsida,Fabales,Fabaceae,Lespedeza,Lespedeza capitata
A,Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris aspera
A,Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris ligulistylis
A,Magnoliopsida,Asterales,Asteraceae,Liatris,Liatris pycnostachya
A,Magnoliopsida,Lamiales,Plantaginaceae,Linaria,Linaria vulgaris
A,Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,Lithospermum canescens
A,Magnoliopsida,Boraginales,Boraginaceae,Lithospermum,Lithospermum carolinense
A,Magnoliopsida,Asterales,Campanulaceae,Lobelia,Lobelia siphilitica
A,Liliopsida,Poales,Poaceae,Lolium,Lolium multiflorum
A,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera dioica
A,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera tatarica
A,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera morrowii
A,Magnoliopsida,Myrtales,Onagraceae,Ludwigia,Ludwigia polycarpa
A,Magnoliopsida,Fabales,Fabaceae,Lupinus,Lupinus perennis
A,Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Silene latifolia
A,Magnoliopsida,Lamiales,Lamiaceae,Lycopus,Lycopus americanus
A,Magnoliopsida,Lamiales,Lamiaceae,Lycopus,Lycopus uniflorus
A,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia ciliata
A,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia thyrsiflora
A,Liliopsida,Asparagales,Asparagaceae,Maianthemum,Maianthemum canadense
A,Magnoliopsida,Fabales,Fabaceae,Medicago,Medicago lupulina
A,Magnoliopsida,Fabales,Fabaceae,Melilotus,Melilotus officinalis
A,Magnoliopsida,Lamiales,Phrymaceae,Mimulus,Mimulus ringens
A,Magnoliopsida,Caryophyllales,Nyctaginaceae,Mirabilis,Mirabilis albida
A,Magnoliopsida,Caryophyllales,Nyctaginaceae,Mirabilis,Mirabilis nyctaginea
A,Magnoliopsida,Lamiales,Lamiaceae,Monarda,Monarda punctata
A,Magnoliopsida,Lamiales,Lamiaceae,Mosla,Mosla dianthera
A,Liliopsida,Poales,Poaceae,Muhlenbergia,Muhlenbergia racemosa
A,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera biennis
A,Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera parviflora
A,Liliopsida,Poales,Poaceae,Panicum,Panicum capillare
A,Liliopsida,Poales,Poaceae,Dichanthelium,Dichanthelium acuminatum
A,Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum
A,Liliopsida,Poales,Poaceae,Dichanthelium,Dichanthelium oligosanthes
A,Liliopsida,Poales,Poaceae,Panicum,Panicum virgatum
A,Magnoliopsida,Rosales,Urticaceae,Parietaria,Parietaria pensylvanica
A,Magnoliopsida,Vitales,Vitaceae,Parthenocissus,Parthenocissus inserta
A,Magnoliopsida,Vitales,Vitaceae,Parthenocissus,Parthenocissus quinquefolia
A,Liliopsida,Poales,Poaceae,Paspalum,Paspalum setaceum
A,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis canadensis
A,Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon digitalis
A,Magnoliopsida,Fabales,Fabaceae,Dalea,Dalea purpurea
A,Liliopsida,Poales,Poaceae,Phalaris,Phalaris arundinacea
A,Magnoliopsida,Ericales,Polemoniaceae,Phlox,Phlox paniculata
A,Magnoliopsida,Ericales,Polemoniaceae,Phlox,Phlox pilosa
A,Magnoliopsida,Rosales,Urticaceae,Pilea,Pilea pumila
G,Pinopsida,Pinales,Pinaceae,Pinus,Pinus banksiana
G,Pinopsida,Pinales,Pinaceae,Pinus,Pinus resinosa
G,Pinopsida,Pinales,Pinaceae,Pinus,Pinus strobus
A,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago major
A,Liliopsida,Poales,Poaceae,Poa,Poa compressa
A,Liliopsida,Poales,Poaceae,Poa,Poa palustris
A,Liliopsida,Poales,Poaceae,Poa,Poa pratensis
A,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala polygama
A,Liliopsida,Asparagales,Asparagaceae,Polygonatum,Polygonatum biflorum
A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonella,Polygonella articulata
A,Magnoliopsida,Caryophyllales,Fabaceae,Parogonum,Parogonum ciliinode
A,Magnoliopsida,Caryophyllales,Polygonaceae,Fallopia,Fallopia convolvulus
A,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria lapathifolia
A,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria pensylvanica
A,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria sagittata
A,Magnoliopsida,Caryophyllales,Polygonaceae,Fallopia,Fallopia scandens
A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum tenue
A,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus balsamifera
A,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus deltoides
A,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus grandidentata
A,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla argentea
A,Magnoliopsida,Rosales,Rosaceae,Drymocallis,Drymocallis arguta
A,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla norvegica
A,Magnoliopsida,Rosales,Rosaceae,Comarum,Comarum palustre
A,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla recta
A,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla simplex
A,Magnoliopsida,Asterales,Asteraceae,Nabalus,Nabalus albus
A,Magnoliopsida,Asterales,Asteraceae,Nabalus,Nabalus racemosus
A,Magnoliopsida,Lamiales,Lamiaceae,Prunella,Prunella vulgaris
A,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus americana
A,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus pensylvanica
A,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus pumila
A,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus serotina
A,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus virginiana
A,Magnoliopsida,Lamiales,Lamiaceae,Pycnanthemum,Pycnanthemum virginianum
A,Magnoliopsida,Ericales,Ericaceae,Pyrola,Pyrola rotundifolia
A,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus alba
A,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus petraea
A,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus ellipsoidalis
A,Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus macrocarpa
A,Magnoliopsida,Asterales,Asteraceae,Ratibida,Ratibida pinnata
A,Magnoliopsida,Rosales,Rhamnaceae,Frangula,Frangula alnus
