class,order,family,genus,species
Magnoliopsida,Rosales,Urticaceae,Parietaria,Parietaria pensylvanica
Magnoliopsida,Vitales,Vitaceae,Parthenocissus,Parthenocissus inserta
Magnoliopsida,Vitales,Vitaceae,Parthenocissus,Parthenocissus quinquefolia
Liliopsida,Poales,Poaceae,Paspalum,Paspalum setaceum
Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis canadensis
Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon digitalis
Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon gracilis
Magnoliopsida,Lamiales,Plantaginaceae,Penstemon,Penstemon grandiflorus
Magnoliopsida,Saxifragales,Penthoraceae,Penthorum,Penthorum sedoides
Magnoliopsida,Fabales,Fabaceae,Petalostemon,Petalostemon candidus
Magnoliopsida,Fabales,Fabaceae,Dalea,Dalea purpurea
Magnoliopsida,Fabales,Fabaceae,Dalea,Dalea villosa
Liliopsida,Poales,Poaceae,Phalaris,Phalaris arundinacea
Liliopsida,Poales,Poaceae,Phleum,Phleum pratense
Magnoliopsida,Ericales,Polemoniaceae,Phlox,Phlox paniculata
Magnoliopsida,Ericales,Polemoniaceae,Phlox,Phlox pilosa
Magnoliopsida,Lamiales,Phrymaceae,Phryma,Phryma leptostachya
Magnoliopsida,Solanales,Solanaceae,Physalis,Physalis pubescens
Magnoliopsida,Solanales,Solanaceae,Physalis,Physalis virginiana
Magnoliopsida,Rosales,Urticaceae,Pilea,Pilea pumila
Pinopsida,Pinales,Pinaceae,Pinus,Pinus banksiana
Pinopsida,Pinales,Pinaceae,Pinus,Pinus resinosa
Pinopsida,Pinales,Pinaceae,Pinus,Pinus strobus
Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago lanceolata
Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago major
Liliopsida,Poales,Poaceae,Poa,Poa compressa
Liliopsida,Poales,Poaceae,Poa,Poa palustris
Liliopsida,Poales,Poaceae,Poa,Poa pratensis
Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala polygama
Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala sanguinea
Liliopsida,Asparagales,Asparagaceae,Polygonatum,Polygonatum biflorum
Magnoliopsida,Caryophyllales,Polygonaceae,Polygonella,Polygonella articulata
Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria amphibia
Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria thunbergii
Magnoliopsida,Caryophyllales,Polygonaceae,Fallopia,Fallopia cilinode
Magnoliopsida,Caryophyllales,Polygonaceae,Fallopia,Fallopia convolvulus
Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria hydropiper
Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria lapathifolia
Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria pensylvanica
Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria maculosa
Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria sagittata
Magnoliopsida,Caryophyllales,Polygonaceae,Fallopia,Fallopia scandens
Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum tenue
Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus balsamifera
Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus deltoides
Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus grandidentata
Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus tremuloides
Magnoliopsida,Caryophyllales,Portulacaceae,Portulaca,Portulaca oleracea
Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla argentea
Magnoliopsida,Rosales,Rosaceae,Drymocallis,Drymocallis arguta
Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla norvegica
Magnoliopsida,Rosales,Rosaceae,Comarum,Comarum palustre
Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla recta
Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla simplex
Magnoliopsida,Asterales,Asteraceae,Nabalus,Nabalus albus
Magnoliopsida,Asterales,Asteraceae,Nabalus,Nabalus racemosus
Magnoliopsida,Lamiales,Lamiaceae,Prunella,Prunella vulgaris
Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus americana
Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus pensylvanica
Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus pumila
Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus serotina
Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus virginiana
Magnoliopsida,Lamiales,Lamiaceae,Pycnanthemum,Pycnanthemum virginianum
Magnoliopsida,Ericales,Ericaceae,Pyrola,Pyrola rotundifolia
Magnoliopsida,Rosales,Rosaceae,Malus,Malus domestica
Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus alba
Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus petraea
Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus ellipsoidalis
Magnoliopsida,Fagales,Fagaceae,Quercus,Quercus macrocarpa
Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus rhomboideus
Magnoliopsida,Asterales,Asteraceae,Ratibida,Ratibida pinnata
Magnoliopsida,Rosales,Rhamnaceae,Rhamnus,Rhamnus cathartica
Magnoliopsida,Rosales,Rhamnaceae,Frangula,Frangula alnus
Magnoliopsida,Sapindales,Anacardiaceae,Rhus,Rhus glabra
Magnoliopsida,Sapindales,Anacardiaceae,Toxicodendron,Toxicodendron radicans
Magnoliopsida,Sapindales,Anacardiaceae,Rhus,Rhus typhina
Magnoliopsida,Saxifragales,Grossulariaceae,Ribes,Ribes hirtellum
Magnoliopsida,Fabales,Fabaceae,Robinia,Robinia pseudoacacia
Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa arkansana
Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa blanda
Magnoliopsida,Rosales,Rosaceae,Rosa,Rosa carolina
Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus allegheniensis
Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus canadensis
Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus flagellaris
Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus idaeus
Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus occidentalis
Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus pubescens
Magnoliopsida,Asterales,Asteraceae,Rudbeckia,Rudbeckia hirta
Magnoliopsida,Asterales,Asteraceae,Echinacea,Echinacea serotina
Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex acetosella
Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex mexicanus
Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex britannica
Liliopsida,Alismatales,Alismataceae,Sagittaria,Sagittaria latifolia
Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix bebbiana
Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix discolor
Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix petiolaris
Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix humilis
Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix interior
Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix pedicellaris
Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix pyrifolia
Magnoliopsida,Malpighiales,Salicaceae,Salix,Salix serissima
Magnoliopsida,Caryophyllales,Amaranthaceae,Kali,Kali turgidum
Magnoliopsida,Saxifragales,Saxifragaceae,Micranthes,Micranthes pensylvanica
Liliopsida,Poales,Poaceae,Schizachne,Schizachne purpurascens
Liliopsida,Poales,Poaceae,Schizachyrium,Schizachyrium scoparium
Liliopsida,Poales,Cyperaceae,Scirpus,Scirpus cyperinus
Liliopsida,Poales,Cyperaceae,Eleocharis,Eleocharis geniculata
Liliopsida,Poales,Cyperaceae,Scleria,Scleria triglomerata
Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,Scutellaria galericulata
Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,Scutellaria lateriflora
Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,Scutellaria parvula
Liliopsida,Poales,Poaceae,Secale,Secale cereale
Magnoliopsida,Asterales,Asteraceae,Packera,Packera aurea
Magnoliopsida,Asterales,Asteraceae,Packera,Packera paupercula
Liliopsida,Poales,Poaceae,Setaria,Setaria italica
Liliopsida,Poales,Poaceae,Cenchrus,Cenchrus americanus
Liliopsida,Poales,Poaceae,Setaria,Setaria viridis
Magnoliopsida,Caryophyllales,Caryophyllaceae,Silene,Silene antirrhina
Magnoliopsida,Brassicales,Brassicaceae,Sisymbrium,Sisymbrium altissimum
