taxon,birth,death,ccp,source
Colchicaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Uvularia,0.04151157206109838,0.031827184492837106,0,from Colchicaceae (singleton)
Commelinaceae,0.04151157206109838,0.031827184492837106,1.0,from __TAXONOMIC_ROOT__ (cherry)
Tradescantia,0.04151157206109838,0.031827184492837106,1.0,from Commelinaceae (cherry)
Convolvulaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Convolvulus,0.04151157206109838,0.031827184492837106,0,from Convolvulaceae (singleton)
Cornaceae,0.02397562826288972,0.0,1.0,computed
Cornus,0.02397562826288972,0.0,1.0,computed
Cupressaceae,0.04151157206109838,0.031827184492837106,1.0,from __TAXONOMIC_ROOT__ (cherry)
Juniperus,0.04151157206109838,0.031827184492837106,1.0,from Cupressaceae (cherry)
Cyperaceae,0.11358652738433411,0.11358590866368773,0.9973544973544973,computed
Carex,0.12341546936490398,0.0,0.9952380952380953,computed
Cyperus,0.1316082165819137,0.0,1.0,computed
Dulichium,0.11358652738433411,0.11358590866368773,0,from Cyperaceae (singleton)
Eleocharis,0.11358652738433411,0.11358590866368773,0,from Cyperaceae (singleton)
Scirpus,0.11358652738433411,0.11358590866368773,0,from Cyperaceae (singleton)
Scleria,0.11358652738433411,0.11358590866368773,0,from Cyperaceae (singleton)
Dryopteridaceae,0.04151157206109838,0.031827184492837106,0.0,from __TAXONOMIC_ROOT__ (unsampled)
Dryopteris,0.04151157206109838,0.031827184492837106,0.0,from Dryopteridaceae (unsampled)
Ericaceae,0.02071205372430452,0.020711456097299293,1.0,computed
Chamaedaphne,0.02071205372430452,0.020711456097299293,0,from Ericaceae (singleton)
Pyrola,0.02071205372430452,0.020711456097299293,0,from Ericaceae (singleton)
Vaccinium,0.02071205372430452,0.020711456097299293,1.0,from Ericaceae (cherry)
Euphorbiaceae,0.011337249664324953,0.0,1.0,computed
Euphorbia,0.011337249664324953,0.0,1.0,computed
Fabaceae,0.0223620669078623,0.0,0.9966666666666667,computed
Amorpha,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Amphicarpaea,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Astragalus,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Baptisia,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Chamaecrista,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Dalea,0.0223620669078623,0.0,1.0,from Fabaceae (cherry)
Desmodium,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Hylodesmum,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Lathyrus,0.0223620669078623,0.0,1.0,from Fabaceae (cherry)
Lespedeza,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Lupinus,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Medicago,0.0223620669078623,0.0,1.0,from Fabaceae (cherry)
Melilotus,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Petalostemon,0.0223620669078623,0.0,0.0,from Fabaceae (unsampled)
Robinia,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Strophostyles,0.0223620669078623,0.0,0,from Fabaceae (singleton)
Trifolium,0.02041141030702065,0.0,1.0,computed
Vicia,0.0223620669078623,0.0,1.0,from Fabaceae (cherry)
Fagaceae,0.08734011856320675,0.0,1.0,computed
Quercus,0.08734011856320675,0.0,1.0,computed
Gentianaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Gentiana,0.04151157206109838,0.031827184492837106,0,from Gentianaceae (singleton)
Geraniaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Geranium,0.04151157206109838,0.031827184492837106,0,from Geraniaceae (singleton)
Gesneriaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Seemannia,0.04151157206109838,0.031827184492837106,0,from Gesneriaceae (singleton)
Ginkgoaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Ginkgo,0.04151157206109838,0.031827184492837106,0,from Ginkgoaceae (singleton)
Grossulariaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Ribes,0.04151157206109838,0.031827184492837106,0,from Grossulariaceae (singleton)
Hypericaceae,0.04151157206109838,0.031827184492837106,0.0,from __TAXONOMIC_ROOT__ (not monophyletic)
Hypericum,0.04151157206109838,0.031827184492837106,0,from Hypericaceae (singleton)
Triadenum,0.04151157206109838,0.031827184492837106,0,from Hypericaceae (singleton)
Hypoxidaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Hypoxis,0.04151157206109838,0.031827184492837106,0,from Hypoxidaceae (singleton)
Iridaceae,0.04151157206109838,0.031827184492837106,0.0,from __TAXONOMIC_ROOT__ (not monophyletic)
Iris,0.04151157206109838,0.031827184492837106,0,from Iridaceae (singleton)
Sisyrinchium,0.04151157206109838,0.031827184492837106,0,from Iridaceae (singleton)
Juncaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Juncus,0.04151157206109838,0.031827184492837106,0,from Juncaceae (singleton)
Lamiaceae,0.04756299864081283,0.0,1.0,computed
Agastache,0.04756299864081283,0.0,0,from Lamiaceae (singleton)
Glechoma,0.04756299864081283,0.0,0,from Lamiaceae (singleton)
Hedeoma,0.04756299864081283,0.0,0,from Lamiaceae (singleton)
Lycopus,0.04756299864081283,0.0,1.0,from Lamiaceae (cherry)
Monarda,0.04756299864081283,0.0,0.0,from Lamiaceae (not monophyletic)
Mosla,0.04756299864081283,0.0,0,from Lamiaceae (singleton)
Nepeta,0.04756299864081283,0.0,0,from Lamiaceae (singleton)
Prunella,0.04756299864081283,0.0,0,from Lamiaceae (singleton)
Pycnanthemum,0.04756299864081283,0.0,0,from Lamiaceae (singleton)
Scutellaria,0.08125640916633148,0.0,1.0,computed
Stachys,0.04756299864081283,0.0,1.0,from Lamiaceae (cherry)
Liliaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Streptopus,0.04151157206109838,0.031827184492837106,0,from Liliaceae (singleton)
Lycopodiaceae,0.04151157206109838,0.031827184492837106,0.0,from __TAXONOMIC_ROOT__ (unsampled)
Lycopodium,0.04151157206109838,0.031827184492837106,0.0,from Lycopodiaceae (unsampled)
Molluginaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Mollugo,0.04151157206109838,0.031827184492837106,0,from Molluginaceae (singleton)
Nyctaginaceae,0.04151157206109838,0.031827184492837106,1.0,from __TAXONOMIC_ROOT__ (cherry)
Mirabilis,0.04151157206109838,0.031827184492837106,1.0,from Nyctaginaceae (cherry)
Oleaceae,0.04406255419604481,0.0,1.0,computed
Fraxinus,0.04406255419604481,0.0,1.0,computed
Onagraceae,0.05952409536066816,0.05952323823211854,1.0,computed
Chamaenerion,0.05952409536066816,0.05952323823211854,0,from Onagraceae (singleton)
Circaea,0.05952409536066816,0.05952323823211854,0,from Onagraceae (singleton)
Epilobium,0.05952409536066816,0.05952323823211854,1.0,from Onagraceae (cherry)
Ludwigia,0.05952409536066816,0.05952323823211854,0,from Onagraceae (singleton)
Oenothera,0.2979179426910544,0.0,1.0,computed
Orchidaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Platanthera,0.04151157206109838,0.031827184492837106,0,from Orchidaceae (singleton)
Orobanchaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Pedicularis,0.04151157206109838,0.031827184492837106,0,from Orobanchaceae (singleton)
Oxalidaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Oxalis,0.04151157206109838,0.031827184492837106,0,from Oxalidaceae (singleton)
